title,name1,name2,name3,description,length,time,ampm,day,dayno,group,spot,,
"Everything old is new again : What we could have learned from a book on COBOL from 1976, but didn’t",Chad Nelson,,,"Tech culture so often focuses on the future, it is easy to forget technology has a past. Yet, the long term history of software development, and the short term history of specific technologies, can provide a context to help us better understand our present situations, and inform our future choices. 
Using an 1976 book on writing better COBOL as a guide, this talk explores the ways ""new"" ideas are old, how ""bad"" ideas were good (in their context), and how we might use those insights to better navigate a tech zeitgeist that insists on throwing out the old again and again and again.",20,2:05,pm,2024-05-13,1,1,1,55,4
Everything could have been different: why computers are like that,Andromeda Yelton,,,"There are certain things we take for granted: bytes have eight bits, the internet uses packets. But these are decisions made by humans when other alternatives were on the table. In this talk, I’ll tell stories of some papers that were pivot points in the history of computing. How is the internet a response to nuclear war? How did a neuropsychologist and a tragic genius dream up neural nets? There will be an absolute banger of a bibliography for you to continue learning with.",15,2:25,pm,2024-05-13,1,1,2,,
The Last Two Women Standing:  libtechwomen's CodeClub,Bobbi Fox,Melani Polutta,,"Late in the year 2014, a call went out on the libtechwomen mailing list proposing the formation of CodeClubs, with the idea that reading other people's code is an essential part of learning to be a good developer.

Two CodeClub groups of 4-5 librarian/library workers each had a weekly virtual meeting, where code, usually from GitHub, was read and analyzed.

 All these years later, two of us, a cataloger and a library software developer, are still meeting weekly over Zoom.  However, not only are we reading code, now we're writing it!

We will describe the work we are doing and discuss the benefits of the CodeClub approach.

",10,2:40,pm,2024-05-13,1,1,3,,
Teaching coding online to full-time library workers,Justin de la Cruz,,,"My organization developed and ran a free 9-week online class titled ""Fundamentals of Health Data Science"" aimed at an audience of medical librarians. The course covers an introduction to Python in the context of working with a health-related dataset. The course was mostly asynchronous, with a group of 70 learners working on the same topics week-by-week, but we also hired librarians with Python experience to meet with learners and help them with the class. We think this format addresses some of the traditional challenges of completely asynchronous learning (isolation, lack of feedback) and completely synchronous classes (scheduling). This talk would present some background information on the class, the instructional approach we took, the challenges and successes we had, and the outcomes/feedback from class learners and helpers. This class will be repeated in the future, and presenting on it could help us receive more feedback on how to improve it going forward.",10,2:50,pm,2024-05-13,1,1,4,,
Whispering at any volume: Scalable speech recognition for all,Owen C. King,"Ryan ""Harpo"" Harbert",,"The American Archive of Public Broadcasting (AAPB) preserves and hosts over 150k audiovisual resources, with over 100k records available publicly. A collaboration between the Library of Congress and GBH (WGBH Boston), the collection spans over 100 years of media history.

Accurate transcripts remain critical for content discovery and accessibility, especially with such an extensive catalog. In September 2022, OpenAI released Whisper, a speech recognition model that revolutionized our transcription capabilities.

This presentation compares Whisper models against existing transcription approaches and demonstrates major improvements in accuracy and speed, while significantly reducing computing power. We examine test results across models and compare them to the popular Kaldi speech recognition toolkit, noting significant improvements in operational cost, especially with GPUs. In addition, we highlight Whisper’s multi-language capabilities and discuss common errors and biases.

Throughout, we showcase real-world examples along with source code for operating at multiple scales: starting from a single laptop, horizontally scaling to a group of machines, and vertically scaling to a Kubernetes cluster with GPU nodes. Here, we feature demos from “Chowda”, our new open-source web application for processing large batches of media through Whisper and additional workflow pipelines.",20,3:15,pm,2024-05-13,1,2,1,100,8
Leveraging AI Tools for Automating Metadata Extraction,Kristian Allen,Zoe Tucker,Leigh Phan,"With an increase in the accessibility of Generative AI and Large Language Models (LLM) we now have the ability to apply these tools against a variety of materials, including images, text, and audio.

The UCLA Library is experimenting with applying AI/ML tools against digital materials that would typically require significant human intervention to extract relevant metadata. Examples include text extraction via OCR, interview transcription, and metadata record generation from local digital library objects.

In this discussion we outline our experience applying some of the more common AI tools against a collection of digital library material with complex layouts, with the aim of building a foundation for the creation of a partially or totally automated metadata pipeline.

Topics and tools discussed:

* Optical Character Recognition (OCR) tools
* Named Entity Recognition and related trained models
* Applying LLM tools such as ChatGPT and Bard to extract metadata
",15,3:35,pm,2024-05-13,1,2,2,,
Multi-Modal Machine Learning to Enhance the Accessibility of Natural History Collections,Borui Zhang,Henna D. Bhramdat,Nicolas Gauthier ,"University libraries and museums hold vast collections of curated image data that document the natural and social world. While these data are, in theory, accessible to professionals and the general public, in practice, searching archival collections requires technical knowledge and relies on precise scientific terminology, which can be a barrier to its accessibility and broad appeal. Our project aims to enhance the accessibility of natural history collections data through artificial intelligence. We evaluate different “multi-modal” machine learning frameworks – combining insights from natural language processing and computer vision – and compare their performance to human subjects. We then develop a system that unifies collections images and both novice-and expert-level natural language descriptions. We apply our system to museum collections at the Florida Museum of Natural History to assess its effectiveness for querying existing databases. Preliminary findings suggest that larger models may not consistently outperform their smaller counterparts in certain image-to-text tasks. The workflow is transferable to broader text- and image-centric museum and library collections, laying the groundwork for custom natural-language search tools tailored to unique collections.   ",10,3:50,pm,2024-05-13,1,2,3,,
Enhancing Cataloging of Electronic Government Documents with Programming and OpenAI,Greta Heng,Kate Holvoet,Nerissa Lindsey,"The advent of AI products like OpenAI ChatGPT has surged into the learning and library scenes, prompting us to contemplate how to harness these advances to enhance our work and envision the future of our endeavors. Especially within the domain of electronic resources and born-digital materials, developers have utilized their programming skills to extract essential resource descriptors from source files. The fusion of these programming skills with AI technologies empowers metadata and cataloging professionals to redefine and automate their workflows to a certain extent, resulting in increased efficiency.

This presentation aims to demonstrate the experiments we did, utilizing Python and OpenAI APIs to enhance the efficiency of cataloging electronic government publications in the MARC format. We will not only present our ongoing research and discuss the challenges we’ve met but also engage in an insightful dialogue concerning the potential impact of these technologies on the evolution of cataloging practices in the future.",10,4:00,pm,2024-05-13,1,2,4,,
Building a Walking Tour App to Increase Knowledge and Empathy for Complex Historical Sites,David A. Wallace,Siddique Motala,,"Using a wide range of third party software tools and services we have built a customizable walking tour Android app that integrates Geographic Information Systems and archival content. The first iteration of the app has been demonstrated on the site of District Six in Cape Town, where some 60,000 people of color were forcibly removed and their homes, business, and social institutions were demolished by the apartheid government. The app guides users through the historically erased landscape and allows them to understand what used to exist at specific geolocations through a series of descriptive text and historical visual imagery. Users can even use a “slider” to line up and compare the contemporary landscape with the historical built environment before it was demolished. We feel that the affective impact of the erased landscape and what was lost is rendered more meaningful by guiding users to the exact location where homes, houses of worship, business, and social institutions once stood. The app is currently being piloted by the District Six Museum as a tool to train a new generation of walking tour guides. More broadly, the app is designed to be site independent, meaning any physical landscape / location can be used as the basis for a walking tour and where creators can incorporate their own unique sites, points of interest, maps, content, and stories.",10,4:10,pm,2024-05-13,1,2,5,,
[Re]Thinking Digital Infrastructure: Centering Humans in Integrated Systems Work,Mark Lane,Rebecca French,Bodeene Amyot Cairdeas,"In this talk, librarians and archivists from an academic library will discuss establishing and cultivating a Digital Infrastructure Working Group (DIWG). The DIWG was born out of a need to create interoperability between metadata, preservation, discovery, and access systems for archival materials, and demanded a radical rethinking of prior organizational approaches to digital asset curation, including leveraging available APIs and vendor contracted system development. Learn how team members approached technological work by centering each other’s well-being and intentionally making visible the often-invisible human labor invested in developing and maintaining digital infrastructure. We will share how the DIWG challenged organizational silos, established cross-departmental communication and workflows, and cultivated a climate of professional support and human-centered care in a pandemic and post-pandemic workplace. Key takeaways include recommendations made to library administration for digital infrastructure curation moving forward.",15,4:20,pm,2024-05-13,1,2,6,,
